231,693,1386,2310,3465,4851,6468,8316,10395,12705,15246,18018,21021,24255,27720,31416,35343,39501,43890,48510,53361,58443,63756,69300,75075,81081,87318,93786,100485,107415,114576,121968,129591,137445,145530,153846,162393,171171,180180,189420,198891,208593,218526,228690,239085,249711,260568,271656,282975,294525,306306,318318,330561,343035,355740,368676,381843,395241,408870,422730,436821,451143,465696,480480,495495,510741,526218,541926,557865,574035,590436,607068,623931,641025,658350,675906,693693,711711,729960,748440,767151,786093,805266,824670,844305,864171,884268,904596,925155,945945,966966,988218,1009701,1031415,1053360,1075536,1097943,1120581,1143450,1166550
253,759,1518,2530,3795,5313,7084,9108,11385,13915,16698,19734,23023,26565,30360,34408,38709,43263,48070,53130,58443,64009,69828,75900,82225,88803,95634,102718,110055,117645,125488,133584,141933,150535,159390,168498,177859,187473,197340,207460,217833,228459,239338,250470,261855,273493,285384,297528,309925,322575,335478,348634,362043,375705,389620,403788,418209,432883,447810,462990,478423,494109,510048,526240,542685,559383,576334,593538,610995,628705,646668,664884,683353,702075,721050,740278,759759,779493,799480,819720,840213,860959,881958,903210,924715,946473,968484,990748,1013265,1036035,1059058,1082334,1105863,1129645,1153680,1177968,1202509,1227303,1252350,1277650
276,828,1656,2760,4140,5796,7728,9936,12420,15180,18216,21528,25116,28980,33120,37536,42228,47196,52440,57960,63756,69828,76176,82800,89700,96876,104328,112056,120060,128340,136896,145728,154836,164220,173880,183816,194028,204516,215280,226320,237636,249228,261096,273240,285660,298356,311328,324576,338100,351900,365976,380328,394956,409860,425040,440496,456228,472236,488520,505080,521916,539028,556416,574080,592020,610236,628728,647496,666540,685860,705456,725328,745476,765900,786600,807576,828828,850356,872160,894240,916596,939228,962136,985320,1008780,1032516,1056528,1080816,1105380,1130220,1155336,1180728,1206396,1232340,1258560,1285056,1311828,1338876,1366200,1393800
300,900,1800,3000,4500,6300,8400,10800,13500,16500,19800,23400,27300,31500,36000,40800,45900,51300,57000,63000,69300,75900,82800,90000,97500,105300,113400,121800,130500,139500,148800,158400,168300,178500,189000,199800,210900,222300,234000,246000,258300,270900,283800,297000,310500,324300,338400,352800,367500,382500,397800,413400,429300,445500,462000,478800,495900,513300,531000,549000,567300,585900,604800,624000,643500,663300,683400,703800,724500,745500,766800,788400,810300,832500,855000,877800,900900,924300,948000,972000,996300,1020900,1045800,1071000,1096500,1122300,1148400,1174800,1201500,1228500,1255800,1283400,1311300,1339500,1368000,1396800,1425900,1455300,1485000,1515000
325,975,1950,3250,4875,6825,9100,11700,14625,17875,21450,25350,29575,34125,39000,44200,49725,55575,61750,68250,75075,82225,89700,97500,105625,114075,122850,131950,141375,151125,161200,171600,182325,193375,204750,216450,228475,240825,253500,266500,279825,293475,307450,321750,336375,351325,366600,382200,398125,414375,430950,447850,465075,482625,500500,518700,537225,556075,575250,594750,614575,634725,655200,676000,697125,718575,740350,762450,784875,807625,830700,854100,877825,901875,926250,950950,975975,1001325,1027000,1053000,1079325,1105975,1132950,1160250,1187875,1215825,1244100,1272700,1301625,1330875,1360450,1390350,1420575,1451125,1482000,1513200,1544725,1576575,1608750,1641250
351,1053,2106,3510,5265,7371,9828,12636,15795,19305,23166,27378,31941,36855,42120,47736,53703,60021,66690,73710,81081,88803,96876,105300,114075,123201,132678,142506,152685,163215,174096,185328,196911,208845,221130,233766,246753,260091,273780,287820,302211,316953,332046,347490,363285,379431,395928,412776,429975,447525,465426,483678,502281,521235,540540,560196,580203,600561,621270,642330,663741,685503,707616,730080,752895,776061,799578,823446,847665,872235,897156,922428,948051,974025,1000350,1027026,1054053,1081431,1109160,1137240,1165671,1194453,1223586,1253070,1282905,1313091,1343628,1374516,1405755,1437345,1469286,1501578,1534221,1567215,1600560,1634256,1668303,1702701,1737450,1772550
378,1134,2268,3780,5670,7938,10584,13608,17010,20790,24948,29484,34398,39690,45360,51408,57834,64638,71820,79380,87318,95634,104328,113400,122850,132678,142884,153468,164430,175770,187488,199584,212058,224910,238140,251748,265734,280098,294840,309960,325458,341334,357588,374220,391230,408618,426384,444528,463050,481950,501228,520884,540918,561330,582120,603288,624834,646758,669060,691740,714798,738234,762048,786240,810810,835758,861084,886788,912870,939330,966168,993384,1020978,1048950,1077300,1106028,1135134,1164618,1194480,1224720,1255338,1286334,1317708,1349460,1381590,1414098,1446984,1480248,1513890,1547910,1582308,1617084,1652238,1687770,1723680,1759968,1796634,1833678,1871100,1908900
406,1218,2436,4060,6090,8526,11368,14616,18270,22330,26796,31668,36946,42630,48720,55216,62118,69426,77140,85260,93786,102718,112056,121800,131950,142506,153468,164836,176610,188790,201376,214368,227766,241570,255780,270396,285418,300846,316680,332920,349566,366618,384076,401940,420210,438886,457968,477456,497350,517650,538356,559468,580986,602910,625240,647976,671118,694666,718620,742980,767746,792918,818496,844480,870870,897666,924868,952476,980490,1008910,1037736,1066968,1096606,1126650,1157100,1187956,1219218,1250886,1282960,1315440,1348326,1381618,1415316,1449420,1483930,1518846,1554168,1589896,1626030,1662570,1699516,1736868,1774626,1812790,1851360,1890336,1929718,1969506,2009700,2050300
435,1305,2610,4350,6525,9135,12180,15660,19575,23925,28710,33930,39585,45675,52200,59160,66555,74385,82650,91350,100485,110055,120060,130500,141375,152685,164430,176610,189225,202275,215760,229680,244035,258825,274050,289710,305805,322335,339300,356700,374535,392805,411510,430650,450225,470235,490680,511560,532875,554625,576810,599430,622485,645975,669900,694260,719055,744285,769950,796050,822585,849555,876960,904800,933075,961785,990930,1020510,1050525,1080975,1111860,1143180,1174935,1207125,1239750,1272810,1306305,1340235,1374600,1409400,1444635,1480305,1516410,1552950,1589925,1627335,1665180,1703460,1742175,1781325,1820910,1860930,1901385,1942275,1983600,2025360,2067555,2110185,2153250,2196750
465,1395,2790,4650,6975,9765,13020,16740,20925,25575,30690,36270,42315,48825,55800,63240,71145,79515,88350,97650,107415,117645,128340,139500,151125,163215,175770,188790,202275,216225,230640,245520,260865,276675,292950,309690,326895,344565,362700,381300,400365,419895,439890,460350,481275,502665,524520,546840,569625,592875,616590,640770,665415,690525,716100,742140,768645,795615,823050,850950,879315,908145,937440,967200,997425,1028115,1059270,1090890,1122975,1155525,1188540,1222020,1255965,1290375,1325250,1360590,1396395,1432665,1469400,1506600,1544265,1582395,1620990,1660050,1699575,1739565,1780020,1820940,1862325,1904175,1946490,1989270,2032515,2076225,2120400,2165040,2210145,2255715,2301750,2348250
496,1488,2976,4960,7440,10416,13888,17856,22320,27280,32736,38688,45136,52080,59520,67456,75888,84816,94240,104160,114576,125488,136896,148800,161200,174096,187488,201376,215760,230640,246016,261888,278256,295120,312480,330336,348688,367536,386880,406720,427056,447888,469216,491040,513360,536176,559488,583296,607600,632400,657696,683488,709776,736560,763840,791616,819888,848656,877920,907680,937936,968688,999936,1031680,1063920,1096656,1129888,1163616,1197840,1232560,1267776,1303488,1339696,1376400,1413600,1451296,1489488,1528176,1567360,1607040,1647216,1687888,1729056,1770720,1812880,1855536,1898688,1942336,1986480,2031120,2076256,2121888,2168016,2214640,2261760,2309376,2357488,2406096,2455200,2504800
528,1584,3168,5280,7920,11088,14784,19008,23760,29040,34848,41184,48048,55440,63360,71808,80784,90288,100320,110880,121968,133584,145728,158400,171600,185328,199584,214368,229680,245520,261888,278784,296208,314160,332640,351648,371184,391248,411840,432960,454608,476784,499488,522720,546480,570768,595584,620928,646800,673200,700128,727584,755568,784080,813120,842688,872784,903408,934560,966240,998448,1031184,1064448,1098240,1132560,1167408,1202784,1238688,1275120,1312080,1349568,1387584,1426128,1465200,1504800,1544928,1585584,1626768,1668480,1710720,1753488,1796784,1840608,1884960,1929840,1975248,2021184,2067648,2114640,2162160,2210208,2258784,2307888,2357520,2407680,2458368,2509584,2561328,2613600,2666400
561,1683,3366,5610,8415,11781,15708,20196,25245,30855,37026,43758,51051,58905,67320,76296,85833,95931,106590,117810,129591,141933,154836,168300,182325,196911,212058,227766,244035,260865,278256,296208,314721,333795,353430,373626,394383,415701,437580,460020,483021,506583,530706,555390,580635,606441,632808,659736,687225,715275,743886,773058,802791,833085,863940,895356,927333,959871,992970,1026630,1060851,1095633,1130976,1166880,1203345,1240371,1277958,1316106,1354815,1394085,1433916,1474308,1515261,1556775,1598850,1641486,1684683,1728441,1772760,1817640,1863081,1909083,1955646,2002770,2050455,2098701,2147508,2196876,2246805,2297295,2348346,2399958,2452131,2504865,2558160,2612016,2666433,2721411,2776950,2833050
595,1785,3570,5950,8925,12495,16660,21420,26775,32725,39270,46410,54145,62475,71400,80920,91035,101745,113050,124950,137445,150535,164220,178500,193375,208845,224910,241570,258825,276675,295120,314160,333795,354025,374850,396270,418285,440895,464100,487900,512295,537285,562870,589050,615825,643195,671160,699720,728875,758625,788970,819910,851445,883575,916300,949620,983535,1018045,1053150,1088850,1125145,1162035,1199520,1237600,1276275,1315545,1355410,1395870,1436925,1478575,1520820,1563660,1607095,1651125,1695750,1740970,1786785,1833195,1880200,1927800,1975995,2024785,2074170,2124150,2174725,2225895,2277660,2330020,2382975,2436525,2490670,2545410,2600745,2656675,2713200,2770320,2828035,2886345,2945250,3004750
630,1890,3780,6300,9450,13230,17640,22680,28350,34650,41580,49140,57330,66150,75600,85680,96390,107730,119700,132300,145530,159390,173880,189000,204750,221130,238140,255780,274050,292950,312480,332640,353430,374850,396900,419580,442890,466830,491400,516600,542430,568890,595980,623700,652050,681030,710640,740880,771750,803250,835380,868140,901530,935550,970200,1005480,1041390,1077930,1115100,1152900,1191330,1230390,1270080,1310400,1351350,1392930,1435140,1477980,1521450,1565550,1610280,1655640,1701630,1748250,1795500,1843380,1891890,1941030,1990800,2041200,2092230,2143890,2196180,2249100,2302650,2356830,2411640,2467080,2523150,2579850,2637180,2695140,2753730,2812950,2872800,2933280,2994390,3056130,3118500,3181500
666,1998,3996,6660,9990,13986,18648,23976,29970,36630,43956,51948,60606,69930,79920,90576,101898,113886,126540,139860,153846,168498,183816,199800,216450,233766,251748,270396,289710,309690,330336,351648,373626,396270,419580,443556,468198,493506,519480,546120,573426,601398,630036,659340,689310,719946,751248,783216,815850,849150,883116,917748,953046,989010,1025640,1062936,1100898,1139526,1178820,1218780,1259406,1300698,1342656,1385280,1428570,1472526,1517148,1562436,1608390,1655010,1702296,1750248,1798866,1848150,1898100,1948716,1999998,2051946,2104560,2157840,2211786,2266398,2321676,2377620,2434230,2491506,2549448,2608056,2667330,2727270,2787876,2849148,2911086,2973690,3036960,3100896,3165498,3230766,3296700,3363300
703,2109,4218,7030,10545,14763,19684,25308,31635,38665,46398,54834,63973,73815,84360,95608,107559,120213,133570,147630,162393,177859,194028,210900,228475,246753,265734,285418,305805,326895,348688,371184,394383,418285,442890,468198,494209,520923,548340,576460,605283,634809,665038,695970,727605,759943,792984,826728,861175,896325,932178,968734,1005993,1043955,1082620,1121988,1162059,1202833,1244310,1286490,1329373,1372959,1417248,1462240,1507935,1554333,1601434,1649238,1697745,1746955,1796868,1847484,1898803,1950825,2003550,2056978,2111109,2165943,2221480,2277720,2334663,2392309,2450658,2509710,2569465,2629923,2691084,2752948,2815515,2878785,2942758,3007434,3072813,3138895,3205680,3273168,3341359,3410253,3479850,3550150
741,2223,4446,7410,11115,15561,20748,26676,33345,40755,48906,57798,67431,77805,88920,100776,113373,126711,140790,155610,171171,187473,204516,222300,240825,260091,280098,300846,322335,344565,367536,391248,415701,440895,466830,493506,520923,549081,577980,607620,638001,669123,700986,733590,766935,801021,835848,871416,907725,944775,982566,1021098,1060371,1100385,1141140,1182636,1224873,1267851,1311570,1356030,1401231,1447173,1493856,1541280,1589445,1638351,1687998,1738386,1789515,1841385,1893996,1947348,2001441,2056275,2111850,2168166,2225223,2283021,2341560,2400840,2460861,2521623,2583126,2645370,2708355,2772081,2836548,2901756,2967705,3034395,3101826,3169998,3238911,3308565,3378960,3450096,3521973,3594591,3667950,3742050
780,2340,4680,7800,11700,16380,21840,28080,35100,42900,51480,60840,70980,81900,93600,106080,119340,133380,148200,163800,180180,197340,215280,234000,253500,273780,294840,316680,339300,362700,386880,411840,437580,464100,491400,519480,548340,577980,608400,639600,671580,704340,737880,772200,807300,843180,879840,917280,955500,994500,1034280,1074840,1116180,1158300,1201200,1244880,1289340,1334580,1380600,1427400,1474980,1523340,1572480,1622400,1673100,1724580,1776840,1829880,1883700,1938300,1993680,2049840,2106780,2164500,2223000,2282280,2342340,2403180,2464800,2527200,2590380,2654340,2719080,2784600,2850900,2917980,2985840,3054480,3123900,3194100,3265080,3336840,3409380,3482700,3556800,3631680,3707340,3783780,3861000,3939000
820,2460,4920,8200,12300,17220,22960,29520,36900,45100,54120,63960,74620,86100,98400,111520,125460,140220,155800,172200,189420,207460,226320,246000,266500,287820,309960,332920,356700,381300,406720,432960,460020,487900,516600,546120,576460,607620,639600,672400,706020,740460,775720,811800,848700,886420,924960,964320,1004500,1045500,1087320,1129960,1173420,1217700,1262800,1308720,1355460,1403020,1451400,1500600,1550620,1601460,1653120,1705600,1758900,1813020,1867960,1923720,1980300,2037700,2095920,2154960,2214820,2275500,2337000,2399320,2462460,2526420,2591200,2656800,2723220,2790460,2858520,2927400,2997100,3067620,3138960,3211120,3284100,3357900,3432520,3507960,3584220,3661300,3739200,3817920,3897460,3977820,4059000,4141000
861,2583,5166,8610,12915,18081,24108,30996,38745,47355,56826,67158,78351,90405,103320,117096,131733,147231,163590,180810,198891,217833,237636,258300,279825,302211,325458,349566,374535,400365,427056,454608,483021,512295,542430,573426,605283,638001,671580,706020,741321,777483,814506,852390,891135,930741,971208,1012536,1054725,1097775,1141686,1186458,1232091,1278585,1325940,1374156,1423233,1473171,1523970,1575630,1628151,1681533,1735776,1790880,1846845,1903671,1961358,2019906,2079315,2139585,2200716,2262708,2325561,2389275,2453850,2519286,2585583,2652741,2720760,2789640,2859381,2929983,3001446,3073770,3146955,3221001,3295908,3371676,3448305,3525795,3604146,3683358,3763431,3844365,3926160,4008816,4092333,4176711,4261950,4348050
903,2709,5418,9030,13545,18963,25284,32508,40635,49665,59598,70434,82173,94815,108360,122808,138159,154413,171570,189630,208593,228459,249228,270900,293475,316953,341334,366618,392805,419895,447888,476784,506583,537285,568890,601398,634809,669123,704340,740460,777483,815409,854238,893970,934605,976143,1018584,1061928,1106175,1151325,1197378,1244334,1292193,1340955,1390620,1441188,1492659,1545033,1598310,1652490,1707573,1763559,1820448,1878240,1936935,1996533,2057034,2118438,2180745,2243955,2308068,2373084,2439003,2505825,2573550,2642178,2711709,2782143,2853480,2925720,2998863,3072909,3147858,3223710,3300465,3378123,3456684,3536148,3616515,3697785,3779958,3863034,3947013,4031895,4117680,4204368,4291959,4380453,4469850,4560150
946,2838,5676,9460,14190,19866,26488,34056,42570,52030,62436,73788,86086,99330,113520,128656,144738,161766,179740,198660,218526,239338,261096,283800,307450,332046,357588,384076,411510,439890,469216,499488,530706,562870,595980,630036,665038,700986,737880,775720,814506,854238,894916,936540,979110,1022626,1067088,1112496,1158850,1206150,1254396,1303588,1353726,1404810,1456840,1509816,1563738,1618606,1674420,1731180,1788886,1847538,1907136,1967680,2029170,2091606,2154988,2219316,2284590,2350810,2417976,2486088,2555146,2625150,2696100,2767996,2840838,2914626,2989360,3065040,3141666,3219238,3297756,3377220,3457630,3538986,3621288,3704536,3788730,3873870,3959956,4046988,4134966,4223890,4313760,4404576,4496338,4589046,4682700,4777300
